Counter,Norm,X,Y,Z
0,1.91032,7.79174,7.08748,-2.02429
0,1.8833,7.85191,7.14144,-2.01595
0,1.95673,7.91122,7.19459,-2.00854
0,1.97902,7.96914,7.24712,-2.00197
0,1.86423,8.02628,7.29884,-1.99629
0,1.97979,8.08252,7.34976,-1.99128
0,1.95644,8.13783,7.39989,-1.98717
0,1.97235,8.19233,7.44922,-1.98417
0,2.01775,8.24588,7.49779,-1.98227
0,1.84204,8.32466,7.5692,-1.98121
0,1.95587,8.37591,7.61607,-1.98155
0,1.96031,8.42621,7.66228,-1.98266
0,1.94811,8.47566,7.70772,-1.98468
0,1.9194,8.52422,7.75234,-1.98782
0,2.06107,8.57198,7.79603,-1.99205
0,2.21058,8.61888,7.83886,-1.99735
0,1.92746,8.66505,7.8807,-2.00353
0,2.07221,8.71047,7.92169,-2.01035
0,2.22598,8.75476,7.96207,-2.01774
0,1.95415,8.79831,8.00146,-2.02581
0,2.136,8.84104,8.03989,-2.03465
0,1.97305,8.88303,8.07724,-2.04415
0,2.2269,8.94452,8.13143,-2.05961
0,2.04577,8.98463,8.16618,-2.07061
0,2.18414,9.02396,8.19999,-2.08207
0,2.17372,9.06232,8.23283,-2.09405
0,2.19051,9.09977,8.26456,-2.10656
0,2.3466,9.13643,8.29521,-2.1195
0,2.20082,9.17243,8.32478,-2.13255
0,2.62592,9.20769,8.35332,-2.14576
0,2.45519,9.24219,8.38077,-2.15914
0,2.37781,9.27589,8.40706,-2.1727
0,2.36572,9.30874,8.43228,-2.1864
0,2.49367,9.34062,8.45645,-2.20021
0,2.37997,9.37153,8.47954,-2.21439
0,2.56122,9.41659,8.51193,-2.23607
0,2.69081,9.44579,8.53206,-2.25075
0,2.45596,9.47423,8.551,-2.26552
0,2.64542,9.50197,8.56879,-2.28018
0,2.93038,9.52886,8.58546,-2.29473
0,3.00107,9.55486,8.60106,-2.30928
0,2.73514,9.57993,8.61566,-2.32368
0,2.88556,9.60423,8.62912,-2.33794
0,2.74543,9.62791,8.64143,-2.35203
0,2.93082,9.65093,8.6526,-2.36583
0,2.86644,9.67345,8.66276,-2.37921
